UF,Consumo,Mes,Ano
Rio Grande do Norte,152533.0,AGO,2010.0
Paraíba,129292.0,AGO,2010.0
Pernambuco,365466.0,AGO,2010.0
Alagoas,103416.0,AGO,2010.0
Sergipe,79659.0,AGO,2010.0
Bahia,510134.0,AGO,2010.0
Minas Gerais,884044.0,AGO,2010.0
Espírito Santo,177440.0,AGO,2010.0
Rio de Janeiro,909596.0,AGO,2010.0
São Paulo,3220868.0,AGO,2010.0
Paraná,594355.0,AGO,2010.0
Santa Catarina,436448.0,AGO,2010.0
Rio Grande do Sul,691800.0,AGO,2010.0
Mato Grosso do Sul,129553.0,AGO,2010.0
Mato Grosso,187218.0,AGO,2010.0
Goiás,350965.0,AGO,2010.0
Distrito Federal,196697.0,AGO,2010.0
Rondônia,106995.0,SET,2010.0
Acre,36184.0,SET,2010.0
Amazonas,185528.0,SET,2010.0
Roraima,37950.0,SET,2010.0
Pará,271768.0,SET,2010.0
Amapá,49546.0,SET,2010.0
Tocantins,67866.0,SET,2010.0
Maranhão,244579.0,SET,2010.0
Piauí,125642.0,SET,2010.0
Ceará,340060.0,SET,2010.0
Rio Grande do Norte,150940.0,SET,2010.0
Paraíba,136205.0,SET,2010.0
Pernambuco,364621.0,SET,2010.0
Alagoas,103118.0,SET,2010.0
Sergipe,80006.0,SET,2010.0
Bahia,515269.0,SET,2010.0
Minas Gerais,840816.0,SET,2010.0
Espírito Santo,171907.0,SET,2010.0
Rio de Janeiro,1012669.0,SET,2010.0
São Paulo,3169411.0,SET,2010.0
Paraná,595984.0,SET,2010.0
Santa Catarina,394855.0,SET,2010.0
Rio Grande do Sul,659554.0,SET,2010.0
Mato Grosso do Sul,142223.0,SET,2010.0
Mato Grosso,216678.0,SET,2010.0
Goiás,366809.0,SET,2010.0
Distrito Federal,188432.0,SET,2010.0
Rondônia,107846.0,OUT,2010.0
Acre,36734.0,OUT,2010.0
Amazonas,175892.0,OUT,2010.0
Roraima,40392.0,OUT,2010.0
Pará,273147.0,OUT,2010.0
Amapá,48932.0,OUT,2010.0
Tocantins,73948.0,OUT,2010.0
Maranhão,253439.0,OUT,2010.0
Piauí,136179.0,OUT,2010.0
Ceará,351073.0,OUT,2010.0
Rio Grande do Norte,160742.0,OUT,2010.0
Paraíba,137481.0,OUT,2010.0
Pernambuco,389038.0,OUT,2010.0
Alagoas,105594.0,OUT,2010.0
Sergipe,80451.0,OUT,2010.0
Bahia,540011.0,OUT,2010.0
Minas Gerais,911136.0,OUT,2010.0
Espírito Santo,191060.0,OUT,2010.0
Rio de Janeiro,1123514.0,OUT,2010.0
São Paulo,3334939.0,OUT,2010.0
Paraná,607660.0,OUT,2010.0
Santa Catarina,407340.0,OUT,2010.0
Rio Grande do Sul,647746.0,OUT,2010.0
Mato Grosso do Sul,163578.0,OUT,2010.0
Mato Grosso,244353.0,OUT,2010.0
Goiás,395846.0,OUT,2010.0
Distrito Federal,202538.0,OUT,2010.0
Rondônia,100259.0,NOV,2010.0
Acre,33512.0,NOV,2010.0
Amazonas,181972.0,NOV,2010.0
Roraima,35716.0,NOV,2010.0
Pará,277656.0,NOV,2010.0
Amapá,48439.0,NOV,2010.0
Tocantins,67729.0,NOV,2010.0
Maranhão,253543.0,NOV,2010.0
Piauí,107158.0,NOV,2010.0
Ceará,335895.0,NOV,2010.0
Rio Grande do Norte,168660.0,NOV,2010.0
Paraíba,143819.0,NOV,2010.0
Pernambuco,407948.0,NOV,2010.0
Alagoas,107865.0,NOV,2010.0
Sergipe,84940.0,NOV,2010.0
Bahia,563169.0,NOV,2010.0
Minas Gerais,956399.0,NOV,2010.0
Espírito Santo,196371.0,NOV,2010.0
Rio de Janeiro,1139917.0,NOV,2010.0
São Paulo,3421444.0,NOV,2010.0
Paraná,640161.0,NOV,2010.0
Santa Catarina,457291.0,NOV,2010.0
Rio Grande do Sul,682977.0,NOV,2010.0
Mato Grosso do Sul,165699.0,NOV,2010.0
Mato Grosso,228642.0,NOV,2010.0
Goiás,374887.0,NOV,2010.0
Distrito Federal,200323.0,NOV,2010.0
Rondônia,99962.0,DEZ,2010.0
Acre,33916.0,DEZ,2010.0
Amazonas,181638.0,DEZ,2010.0
Roraima,38299.0,DEZ,2010.0
Pará,292463.0,DEZ,2010.0
Amapá,47075.0,DEZ,2010.0
Tocantins,68102.0,DEZ,2010.0
Maranhão,235904.0,DEZ,2010.0
Piauí,128543.0,DEZ,2010.0
Ceará,332072.0,DEZ,2010.0
Rio Grande do Norte,170299.0,DEZ,2010.0
Paraíba,142983.0,DEZ,2010.0
Pernambuco,426461.0,DEZ,2010.0
Alagoas,118521.0,DEZ,2010.0
Sergipe,84691.0,DEZ,2010.0
Bahia,551470.0,DEZ,2010.0
Minas Gerais,862533.0,DEZ,2010.0
Espírito Santo,205293.0,DEZ,2010.0
Rio de Janeiro,1176620.0,DEZ,2010.0
São Paulo,3264325.0,DEZ,2010.0
Paraná,618363.0,DEZ,2010.0
Santa Catarina,450376.0,DEZ,2010.0
Rio Grande do Sul,732913.0,DEZ,2010.0
Mato Grosso do Sul,160423.0,DEZ,2010.0
Mato Grosso,211193.0,DEZ,2010.0
Goiás,340628.0,DEZ,2010.0
Distrito Federal,185704.0,DEZ,2010.0
Rondônia,96183.0,JAN,2011.0
Acre,33835.0,JAN,2011.0
Amazonas,184302.0,JAN,2011.0
Roraima,37956.0,JAN,2011.0
Pará,262569.36,JAN,2011.0
Amapá,48280.0,JAN,2011.0
Tocantins,63445.0,JAN,2011.0
Maranhão,242538.0,JAN,2011.0
Piauí,134095.0,JAN,2011.0
Ceará,347041.0,JAN,2011.0
Rio Grande do Norte,175887.0,JAN,2011.0
Paraíba,163829.0,JAN,2011.0
Pernambuco,434029.0,JAN,2011.0
Alagoas,116536.0,JAN,2011.0
Sergipe,99158.0,JAN,2011.0
Bahia,589553.0,JAN,2011.0
Minas Gerais,965806.0,JAN,2011.0
Espírito Santo,240056.0,JAN,2011.0
Rio de Janeiro,1534945.0,JAN,2011.0
São Paulo,3735760.0,JAN,2011.0
Paraná,672364.0,JAN,2011.0
Santa Catarina,559076.0,JAN,2011.0
Rio Grande do Sul,831555.71,JAN,2011.0
Mato Grosso do Sul,180761.0,JAN,2011.0
Mato Grosso,208739.0,JAN,2011.0
Goiás,388334.0,JAN,2011.0
Distrito Federal,211669.0,JAN,2011.0
Rondônia,87614.0,FEV,2011.0
Acre,30666.0,FEV,2011.0
Amazonas,163148.0,FEV,2011.0
Roraima,34292.0,FEV,2011.0
Pará,258543.0,FEV,2011.0
Amapá,45411.0,FEV,2011.0
Tocantins,57840.0,FEV,2011.0
Maranhão,234652.0,FEV,2011.0
Piauí,121470.0,FEV,2011.0
Ceará,349421.0,FEV,2011.0
Rio Grande do Norte,168135.0,FEV,2011.0
